975000;7,46;4,46;
1000000;7,13;2,75;
1025000;1,80;3,47;
1050000;1,27;3,68;
1075000;1,50;5,19;
1100000;1,58;4,48;
1125000;1,42;3,33;
1150000;1,88;3,72;
1175000;2,23;7,72;
1200000;2,45;4,14;
1225000;2,25;3,84;
1250000;2,18;5,16;
1275000;2,43;3,99;
1300000;2,5;3,66;
1325000;1,97;4,1;
1350000;2,83;6,63;
1375000;2,11;2,99;
1400000;2,17;3,98;
1425000;4,76;10,24;
1450000;4,97;10,77;
1475000;2,85;5,52;
1500000;1,55;5,14;
1525000;1,98;3,24;
1550000;1,88;5,21;
1575000;1,45;4,92;
1600000;1,85;4,95;
1625000;1,90;3,48;
1650000;1,27;3,15;
1675000;1,96;3,13;
1700000;2,95;17,35;
1725000;2,34;4,94;
1750000;2,34;3,76;
1775000;1,94;3,44;
1800000;2,82;3,55;
1825000;2,3;3,67;
1850000;1,75;3,48;
1875000;2,46;3,46;
1900000;2,4;3,88;
1925000;2,18;3,90;
1950000;2,30;3,49;
1975000;2,54;3,70;
2000000;2,68;16,56;
2025000;1,89;4,31;
2050000;2,69;4,17;
2075000;2,9;4,34;
2100000;2,56;4,41;
2125000;2,13;3,83;
2150000;2,33;6,86;
2175000;2,63;4,0;
2200000;2,37;3,92;
2225000;3,26;4,56;
2250000;2,95;6,25;
2275000;4,32;7,38;
2300000;3,42;6,52;
2325000;1,84;4,0;
2350000;6,56;14,68;
2375000;2,60;3,99;
2400000;2,55;4,22;
2425000;2,32;3,85;
2450000;2,19;3,89;
2475000;1,88;4,21;
2500000;22,78;6,47;
2525000;2,13;3,92;
2550000;3,63;7,19;
2575000;4,26;25,29;
2600000;2,13;4,29;
2625000;2,50;5,36;
2650000;2,55;4,35;
2675000;2,87;5,80;
2700000;2,37;5,57;
2725000;2,69;5,57;
2750000;4,84;8,33;
2775000;3,96;6,68;
2800000;6,48;10,39;
2825000;5,55;8,56;
2850000;2,50;5,74;
2875000;3,99;9,71;
2900000;3,50;13,72;
2925000;3,70;5,87;
2950000;2,81;6,55;
2975000;2,34;5,12;
3000000;3,8;4,84;
3025000;4,57;9,82;
3050000;2,79;4,96;
3075000;3,11;6,52;
3100000;2,97;7,71;
3125000;2,71;5,20;
3150000;3,85;5,84;
3175000;3,82;20,89;
3200000;5,81;7,48;
3225000;3,87;6,54;
3250000;3,33;5,99;
3275000;4,4;14,75;
3300000;2,73;5,26;
3325000;3,27;6,5;
3350000;3,0;6,59;
3375000;3,44;6,16;
3400000;3,61;7,34;
3425000;2,44;6,48;
